title,price_idr,city,district,bedrooms,bathrooms,garage,land_size_m2,building_size_m2,scraped_at
Dijual Rumah Dalam Komplek Lokasi 5 Menit Pintu Ciledug Bebas Banjir Lokasi Petukangan Selatan,1800000000.0,Jakarta Selatan,Pesanggrahan,3.0,2.0,2.0,120.0,80.0,2026-04-28T01:42:18.582626+00:00
For Sale Rumah Mewah 4 Lantai Kondisi Baru di Jaksel Super Strategis,6900000000.0,Jakarta Selatan,Tebet,4.0,4.0,4.0,76.0,375.0,2026-04-28T01:42:20.455878+00:00
Rumah Baru Minimalis 3 Lantai Di Puri Indah Jalan Lebar Lokasi Tenang,10000000000.0,Jakarta Barat,Puri Indah,4.0,4.0,2.0,225.0,500.0,2026-04-28T01:42:23.202102+00:00
Rumah 2 Lantai di Tanjung Duren Utara Cocok untuk Kost-An,8500000000.0,Jakarta Barat,Tanjung Duren Utara,3.0,5.0,9.0,350.0,500.0,2026-04-28T01:42:25.528413+00:00
Murah!!! Jual Cepat Rumah Minimalis di Kelapa Gading,1550000000.0,Jakarta Utara,Kelapa Gading,3.0,2.0,,60.0,60.0,2026-04-28T01:42:28.720811+00:00
Murah!! Dijual Rumah Baru Hybrida Kelapa Gading,2900000000.0,Jakarta Utara,Kelapa Gading,4.0,4.0,,102.0,102.0,2026-04-28T01:42:31.564733+00:00
New Condition Rumah Modern 2 Lantai Bagus Nyaman di Dalam Cluster,3400000000.0,Jakarta Timur,Pondok Kelapa,3.0,2.0,4.0,105.0,108.0,2026-04-28T01:42:33.124668+00:00
Rumah 2 Lantai dengan 5 Kamar di Kota Wisata Cibubur Kondisi Baru,2700000000.0,Jakarta Timur,Cibubur,5.0,4.0,4.0,98.0,122.0,2026-04-28T01:42:34.792733+00:00
Dijual Rumah Menteng Luxury Lokasi Strategis di Jakarta Pusat,98000000000.0,Jakarta Pusat,Menteng,7.0,5.0,6.0,879.0,1000.0,2026-04-28T01:42:37.629400+00:00
"Turun Harga Rumah 2 lantai Siap Huni Luas 400 meter dekat pusat kuliner di kawasan hunian nyaman di Cempaka Putih, Jakarta Pusat",8500000000.0,Jakarta Pusat,Cempaka Putih,5.0,3.0,2.0,400.0,460.0,2026-04-28T01:42:39.865449+00:00
Dijual Rumah 2 Lantai New Condition Jarang Ada Lokasi Strategis di Dalam Cluster,2000000000.0,Jakarta Selatan,Pasar Minggu,3.0,2.0,2.0,60.0,85.0,2026-04-28T01:49:42.347074+00:00
"Harga NJOP, Rumah 2 Lantai, Full Furnished, 5 Kamar di Pondok Indah, Cocok U Hunian Keluarga",10000000000.0,Jakarta Selatan,Pondok Indah,6.0,5.0,2.0,216.0,350.0,2026-04-28T01:49:49.315452+00:00
"Strategis, Pggr Jln Raya, Murah Bwh Njop",23000000000.0,Jakarta Selatan,Kemang,12.0,5.0,9.0,1050.0,800.0,2026-04-28T01:49:51.604066+00:00
Rumah Moh Kahfi 103M2 Hanya 1.2 M,1200000000.0,Jakarta Selatan,Jagakarsa,2.0,1.0,2.0,106.0,65.0,2026-04-28T01:49:53.669946+00:00
Rumah Siap Huni Kebayoran Baru Dekat Scbd,22500000000.0,Jakarta Selatan,Kebayoran Baru,5.0,4.0,3.0,366.0,500.0,2026-04-28T01:49:55.920335+00:00
Rumah Siap Huni Pondok Indah Area Tenang Jalan Lebar,6800000000.0,Jakarta Selatan,Pondok Indah,5.0,4.0,2.0,154.0,200.0,2026-04-28T01:49:57.830185+00:00
Rumah Tua Hitung Tanah Dalam Komplek Cilandak,11300000000.0,Jakarta Selatan,Cilandak,6.0,4.0,2.0,535.0,600.0,2026-04-28T01:50:00.301267+00:00
Rumah Baru 3 Lantai Smart Home Dekat Senayan,2100000000.0,Jakarta Selatan,Kebayoran Lama,4.0,5.0,1.0,63.0,158.0,2026-04-28T01:50:02.841148+00:00
Rumah Cantik Harga Menarik Dalam Komplek,2400000000.0,Jakarta Selatan,Kebayoran Lama,5.0,4.0,1.0,63.0,159.0,2026-04-28T01:50:04.509324+00:00
Rumah Bagus Siap Huni Dlm Komplek Bona Lebak Bulus Harga Menarik,7800000000.0,Jakarta Selatan,Lebak Bulus,7.0,5.0,3.0,300.0,400.0,2026-04-28T01:50:06.233552+00:00
Rumah Brandnew Siap Huni Dalam Komplek Radio Dalam Jaksel,10000000000.0,Jakarta Selatan,Radio Dalam,4.0,4.0,3.0,307.0,360.0,2026-04-28T01:50:08.491441+00:00
For Sale Rumah Mewah 4 Lantai Kondisi Baru di Pusat Jakarta Selatan Dekat SCBD Senopati,6900000000.0,Jakarta Selatan,Kemang,4.0,4.0,4.0,76.0,375.0,2026-04-28T01:50:11.250317+00:00
Rumah Bsgus Siap Huni Jalan 1 Mobil Lebar Dekat Taman Lingkungan Aman Nyaman dan Tenang,3500000000.0,Jakarta Selatan,Tebet,5.0,4.0,2.0,138.0,250.0,2026-04-28T01:50:13.762150+00:00
"Dijual Rumah Baru di Cluster Jakarta Jarang Ada! 2 Lantai, 4 Kamar Tidur",2000000000.0,Jakarta Selatan,Jagakarsa,3.0,2.0,2.0,60.0,85.0,2026-04-28T01:50:17.774991+00:00
Brand New House American Style In Town House Cipete Jakarta Selatan,12000000000.0,Jakarta Selatan,Cipete,5.0,7.0,5.0,353.0,850.0,2026-04-28T01:50:20.695174+00:00
Rumah Paling Murah Lokasi Bagus di Area Kemang Jakarta Selatan,31500000000.0,Jakarta Selatan,Kemang,4.0,3.0,5.0,2620.0,400.0,2026-04-28T01:50:22.349607+00:00
"Luxurious Brand New House Full Furnished Desain American Classic di Kemang, Jakarta Selatan",38000000000.0,Jakarta Selatan,Kemang,6.0,6.0,10.0,517.0,760.0,2026-04-28T01:50:24.966269+00:00
Rumah Semifurnished Dibawah Pasaran Dekat Mall.stasiun Pasar.minggu,4500000000.0,Jakarta Selatan,Pejaten,5.0,5.0,3.0,180.0,250.0,2026-04-28T01:50:28.803597+00:00
Rumah Baru Mewah Clasic Modern Private Lift di Kebayoran Baru Jakarta Selatan,39000000000.0,Jakarta Selatan,Kebayoran Baru,4.0,4.0,6.0,403.0,850.0,2026-04-28T01:50:33.702807+00:00
Rumah Bagus Halaman Luas Buat Pengusaha Harga NJOP di Kemang Jakarta Selatan,48000000000.0,Jakarta Selatan,Kemang,9.0,6.0,22.0,2360.0,1000.0,2026-04-28T01:50:35.391242+00:00
"Brand New House Modern Minimalis Lingkungan Nyaman di Cilandak, Jakarta Selatan",12800000000.0,Jakarta Selatan,Cilandak,4.0,4.0,6.0,515.0,400.0,2026-04-28T01:50:37.062801+00:00
Dijual Rumah Akses 2 Mobil,4200000000.0,Jakarta Selatan,Tebet,5.0,3.0,2.0,133.0,200.0,2026-04-28T01:50:38.819102+00:00
Dijual Rumah Siap Huni Dekat Senopati Kebayoran Baru Jakarta Selatan,48000000000.0,Jakarta Selatan,Kebayoran Baru,4.0,4.0,6.0,370.0,810.0,2026-04-28T01:50:41.137837+00:00
Rumah Apik & Murah 2 Lantai di Tebet Utara. Dkt ke Jl Abdullah Syafei,2800000000.0,Jakarta Selatan,Tebet,5.0,5.0,2.0,182.0,250.0,2026-04-28T01:50:43.448565+00:00
Dijual Rumah Modern 3 Kamar Tidur di Dalam Cluster Keamanan 24 Jam,2000000000.0,Jakarta Selatan,Cilandak,3.0,2.0,2.0,60.0,85.0,2026-04-28T01:50:52.053729+00:00
"Dijual Rumah Mewah di Cilandak Sebrang Citos, Bebas Banjir, Siap Huni",21000000000.0,Jakarta Selatan,Cilandak,5.0,5.0,5.0,982.0,650.0,2026-04-28T01:50:54.647441+00:00
"Turun Harga, Dijual 2 Rumah 1 Lahan Area Melawai, Akses 2 Arah",17000000000.0,Jakarta Selatan,Kebayoran Baru,6.0,4.0,,408.0,300.0,2026-04-28T01:51:02.927714+00:00
"Dijual Cepat Rumah Baru Minimalis 3 Lantai Ada Rooftop, Dekat Tol Andara,Rumah Baru Bangun Dalam Cluster Hanya 7 Unit",2350000000.0,Jakarta Selatan,Jagakarsa,5.0,4.0,,78.0,200.0,2026-04-28T01:51:05.578627+00:00
For Sale Rumah Mewah Kondisi Baru di Kebayoran Baru Jaksel Jarang Ada,6900000000.0,Jakarta Selatan,Kebayoran Baru,4.0,4.0,4.0,76.0,375.0,2026-04-28T01:51:08.384250+00:00
Rumah American Classic Luxury Home di Kawasan Elit Jagakarsa,4900000000.0,Jakarta Selatan,Jagakarsa,5.0,8.0,3.0,127.0,360.0,2026-04-28T01:51:10.309245+00:00
Rumah Cisanggiri Kebayoran Baru,20500000000.0,Jakarta Selatan,Kebayoran Baru,4.0,3.0,4.0,400.0,500.0,2026-04-28T01:51:14.295654+00:00
Rumah Mewah Pondok Indah,7300000000.0,Jakarta Selatan,Pondok Indah,4.0,4.0,,120.0,200.0,2026-04-28T01:51:16.933828+00:00
"""Jual Cepat Harga Bersahabat"" untuk Rumah Lux ~ Sektor Favorit di ""Pondok Indah""",32000000000.0,Jakarta Selatan,Pondok Indah,5.0,6.0,8.0,634.0,720.0,2026-04-28T01:51:20.578050+00:00
"Rumak Klasik Nyaman "" Harga Menarik di Pondok Indah """,9600000000.0,Jakarta Selatan,Pondok Indah,7.0,5.0,3.0,257.0,350.0,2026-04-28T01:51:25.160724+00:00
"Rumah ""Klasik Timeless"" di Lokasi Prime Pondok Indah. ""Harga Bersahabat""",48000000000.0,Jakarta Selatan,Pondok Indah,8.0,8.0,10.0,1229.0,852.0,2026-04-28T01:51:28.239957+00:00
Rumah Mewah Siap Huni Dalam Komplek Nyaman Asri,1690000000.0,Jakarta Selatan,Jagakarsa,5.0,4.0,2.0,82.0,160.0,2026-04-28T01:51:29.814152+00:00
Cluster Minimalis Hadir di Kuningan Jakarta Selatan,850000000.0,Jakarta Selatan,Kuningan,2.0,2.0,2.0,24.0,44.0,2026-04-28T01:51:32.683377+00:00
Dijual Rumah Exclusive di Kawasan Elit Kemang Jaksel,11800000000.0,Jakarta Selatan,Kemang,3.0,3.0,6.0,696.0,325.0,2026-04-28T01:51:35.054802+00:00
Rumah Harga Menarik di Kuningan Area - Jakarta Selatan,15500000000.0,Jakarta Selatan,Kuningan,8.0,5.0,4.0,391.0,407.0,2026-04-28T01:51:41.818939+00:00
"""For Sale Hunian Minimalis Area Tenang dengan Harga Menarik di Pondok Indah",16000000000.0,Jakarta Selatan,Pondok Indah,5.0,5.0,3.0,394.0,400.0,2026-04-28T01:51:44.460971+00:00
Rumah Tropis Modern Privet Pool Dalam Townhouse di Kemang Jakarta Selatan SHM Akses Jalan Besar,19500000000.0,Jakarta Selatan,Kemang,4.0,3.0,4.0,439.0,405.0,2026-04-28T01:51:47.332269+00:00
"Hunian Super Strategis di Kawasan Cipete, Jakarta Selatan",20000000000.0,Jakarta Selatan,Cipete,3.0,3.0,4.0,921.0,614.0,2026-04-28T01:51:50.156656+00:00
Turun Harga Rumah Mewah Harga Paling Murah Area Kemang Jakarta Selatan,18500000000.0,Jakarta Selatan,Kemang,7.0,5.0,6.0,1035.0,700.0,2026-04-28T01:51:52.332418+00:00
Rumah Bagus 2 Lantai Jalan Besar Dekat Blok M di Kebayoran Baru Jakarta Selatan,32000000000.0,Jakarta Selatan,Kebayoran Baru,8.0,5.0,7.0,703.0,500.0,2026-04-28T01:51:54.908428+00:00
Rumah Hitung Tanah 65% di Bawah NJOP di Ampera Kemang Jakarta Selatan,55000000000.0,Jakarta Selatan,Kemang,2.0,2.0,21.0,5555.0,1000.0,2026-04-28T01:51:57.055347+00:00
Rumah Murah Hanya 2 M di Jakarta Jarang Ada Kondisi Baru Desain Modern,2000000000.0,Jakarta Selatan,Pasar Minggu,3.0,2.0,2.0,60.0,85.0,2026-04-28T01:51:58.690897+00:00
Rumah Cluster 899M Turun Harga,16000000000.0,Jakarta Selatan,Kebayoran Baru,4.0,4.0,10.0,899.0,467.0,2026-04-28T01:52:04.763523+00:00
Dibawah NJOP! Rumah Hitung Tanah di Pondok Indah. Depan Taman Jalan Lebar SHM IMB,5400000000.0,Jakarta Selatan,Pondok Indah,4.0,2.0,1.0,184.0,125.0,2026-04-28T01:52:08.338617+00:00
Rumah Minimalis Siap Huni Jalan Lebar Pondok Indah Belakang Pim SHM,6100000000.0,Jakarta Selatan,Pondok Indah,4.0,3.0,2.0,155.0,155.0,2026-04-28T01:52:11.037519+00:00
For Sale Rumah 3 Lantai Ada Rooftop Kondisi Baru di Dalam Cluster Strategis,3000000000.0,Jakarta Selatan,Jagakarsa,3.0,3.0,2.0,60.0,127.0,2026-04-28T01:52:13.613235+00:00
Premium Lokasi Dijual Rumah Harga Hitung Tanah di Pakubuwono Kebayoran Baru Dengan Lingkungan Hijau Yang Asri.,76500000000.0,Jakarta Selatan,Pakubuwono,7.0,5.0,4.0,962.0,830.0,2026-04-28T01:52:16.346060+00:00
Di Bawah NJOP Rumah Lama Hitung Tanah di Pondok Indah,6500000000.0,Jakarta Selatan,Pondok Indah,4.0,3.0,2.0,198.0,150.0,2026-04-28T01:52:19.382808+00:00
Rumah Baru 2 Lantai Siap Huni Jagakarsa Jakarta Selatan,2900000000.0,Jakarta Selatan,Jagakarsa,4.0,4.0,2.0,155.0,200.0,2026-04-28T01:52:21.036344+00:00
Rumah Dibawah NJOP Jual Cepat Bonus Bangunan di Pondok Indah,4850000000.0,Jakarta Selatan,Pondok Indah,5.0,4.0,2.0,147.0,240.0,2026-04-28T01:52:24.182762+00:00
Rumah Murah di Pondok Indah Jl. Gedung Hijau,10800000000.0,Jakarta Selatan,Pondok Indah,4.0,4.0,3.0,259.0,500.0,2026-04-28T01:52:26.578777+00:00
Rumah Mewah Dua Lantai Siap Huni di Kawasan Elit Tanjung Barat Jakarta Selatan Sebelah Aeon Mall,23000000000.0,Jakarta Selatan,Jagakarsa,9.0,7.0,8.0,700.0,972.0,2026-04-28T01:52:28.874801+00:00
"Rumah 3 Lantai Ada Rooftop Kondisi Baru Dijual di Cijantung, Dekat Transum",3000000000.0,Jakarta Selatan,Pejaten,3.0,3.0,2.0,60.0,127.0,2026-04-28T01:52:31.746523+00:00
For Sale Rumah Mewah Kondisi Baru di Tengah Jaksel Dekat SCBD 4 Lantai Jarang Ada,6900000000.0,Jakarta Selatan,Pondok Indah,4.0,4.0,4.0,76.0,375.0,2026-04-28T01:52:38.716286+00:00
Jarang Ada Harga Dibawah Pasar Lokasi Strategis,12000000000.0,Jakarta Selatan,Lebak Bulus,5.0,5.0,5.0,480.0,680.0,2026-04-28T01:52:43.959320+00:00
"Pondok Indah, Jakarta Selatan",23500000000.0,Jakarta Selatan,Pondok Indah,5.0,5.0,6.0,750.0,630.0,2026-04-28T01:52:45.835876+00:00
"Dijual Rumah di Jagakarsa, Tanah Luas Investasi Masa Depan",8000000000.0,Jakarta Selatan,Jagakarsa,5.0,4.0,3.0,600.0,200.0,2026-04-28T01:52:48.372765+00:00
Termurah! Rumah Siap Huni Area Kemang Harga Mendekati NJOP,17000000000.0,Jakarta Selatan,Kemang,4.0,4.0,1.0,1100.0,400.0,2026-04-28T01:52:51.721775+00:00
Harga NJOP Property Langka Rumah 2 Lantai di Pondok Indah,5000000000.0,Jakarta Selatan,Pondok Indah,5.0,4.0,2.0,147.0,240.0,2026-04-28T01:52:54.402402+00:00
Tebet Selisih 2 Rumah Dari Jalan 2 Mobil Semi Komplek Dekat Eco Park,3100000000.0,Jakarta Selatan,Tebet,3.0,3.0,2.0,101.0,130.0,2026-04-28T01:52:58.523748+00:00
Rumah 2 Lantai 15x18 6+2 Kt Akses Dekat Jl. Raya Fatmawati,5500000000.0,Jakarta Selatan,Cilandak,6.0,4.0,2.0,263.0,350.0,2026-04-28T01:53:01.287534+00:00
Rumah Bagus Baru 2 Lantai Dijual Kondisi Bagus Kawasan Dekat Sekolah,2000000000.0,Jakarta Selatan,Cilandak,3.0,2.0,2.0,60.0,85.0,2026-04-28T01:53:04.242050+00:00
"Rumah 3 Lantai Kondisi Baru Dijual Ada di Dalam Cluster, Dekat LRT & Mall",3000000000.0,Jakarta Selatan,Pasar Minggu,3.0,3.0,2.0,60.0,127.0,2026-04-28T01:53:06.825556+00:00
"Rumah di Jakarta yang Bikin Hati Tenang? Ada di Cilandak Ini!""",3980000000.0,Jakarta Selatan,Cilandak,5.0,4.0,1.0,200.0,250.0,2026-04-28T01:53:09.603882+00:00
Dijual Segera Rumah 2 Lantai New Condition Area Strategis Dekat Sekolah dan Rumah Sakit,2000000000.0,Jakarta Selatan,Jagakarsa,3.0,2.0,2.0,60.0,85.0,2026-04-28T01:53:11.598096+00:00
For Sale Rumah Mewah Kondisi Baru di Tengah Jaksel 4 Lantai,6900000000.0,Jakarta Selatan,Pondok Indah,4.0,4.0,4.0,76.0,375.0,2026-04-28T01:53:15.006229+00:00
Termurah Jual Rugi Cepat Rumah Mewah+ Pool 634M2 di Pondok Indah,32000000000.0,Jakarta Selatan,Pondok Indah,6.0,6.0,6.0,634.0,720.0,2026-04-28T01:53:17.184198+00:00
Rumah Tanah Dibawah NJOP Pejaten Barat,1800000000.0,Jakarta Selatan,Pejaten,3.0,2.0,2.0,297.0,110.0,2026-04-28T01:53:19.407554+00:00
Turun Harga Rumah Mewah Pondok Indah Siap Huni Lokasi Strategis,36000000000.0,Jakarta Selatan,Pondok Indah,5.0,6.0,4.0,634.0,720.0,2026-04-28T01:53:22.064644+00:00
For Sale Rumah Mewah Kondisi Baru di Tengah Jaksel Dekat SCBD Jarang Ada,6900000000.0,Jakarta Selatan,Senopati,4.0,4.0,4.0,76.0,375.0,2026-04-28T01:53:25.059499+00:00
Dijual Rumah di Jl. Hang Tuah - Kebayoran Baru. Luas Tanah 667M Rp.48 M Nego,48000000000.0,Jakarta Selatan,Kebayoran Baru,5.0,4.0,5.0,667.0,800.0,2026-04-28T01:53:29.116490+00:00
"Dijual Cepat Rumah Siap Huni Area Senopati Luas 334M 2Lt Jalan Lega dan Tenang , Malam Diportal",16500000000.0,Jakarta Selatan,Kebayoran Baru,4.0,3.0,4.0,334.0,400.0,2026-04-28T01:53:32.042972+00:00
Dijual Murah Guest House Exclusive Khusus Expat di Kebayoran Baru. Good Invest. Dekat Senopati. Occupancy Bagus. Hanya Rp.40 M,40000000000.0,Jakarta Selatan,Kebayoran Baru,18.0,20.0,12.0,584.0,1200.0,2026-04-28T01:53:35.645025+00:00
Dijual Murah Bawah NJOP di Kemang Timur Raya. Luas 1344M2,28000000000.0,Jakarta Selatan,Kemang,3.0,4.0,14.0,1344.0,500.0,2026-04-28T01:53:39.361508+00:00
"Dijual Murah Rumah Tua Area Jl. Senjaya - Kelurahan Selong, Kebayoran Baru. Lokasi Terbaik Jaksel. Luas 669M Hanya Rp 115Juta/M2 atau Rp.76.9 M",76900000000.0,Jakarta Selatan,Kebayoran Baru,3.0,2.0,4.0,669.0,350.0,2026-04-28T01:53:47.483991+00:00
Dijual Murah Rumah Istana Super Lux Di Pondok Indah Luas 2382m Hanya Rp 89 M ( Hanya 37 Juta/m2 ),89000000000.0,Jakarta Selatan,Pondok Indah,8.0,8.0,15.0,2382.0,2700.0,2026-04-28T01:53:52.369782+00:00
Dijual Rumah Seperti Ddalam Komplek(Gated) Dikebayoran Baru. Luas 340M.(Fisik 360M) Rp.21.5 M,21500000000.0,Jakarta Selatan,Kebayoran Baru,5.0,4.0,2.0,340.0,500.0,2026-04-28T01:53:56.484975+00:00
"Dijual Murah Hanya Rp 13Jt/M Rumah Lama di Kemang - Cipete, Luas 1153M Harga Rp 15 M",15000000000.0,Jakarta Selatan,Kemang,5.0,4.0,8.0,1153.0,1000.0,2026-04-28T01:53:59.105316+00:00
"Pondok Indah Luas 300M Hanya 13 M . Jalan Lebar dan Tenang, Dalam Portal",12600000000.0,Jakarta Selatan,Pondok Indah,2.0,2.0,2.0,300.0,150.0,2026-04-28T01:54:02.174426+00:00
Dijual Rumah Depan Taman di Pondok Indah Luas Tanah 1094M. Njop.40.3 M. Dijual Rp 53 Milyar,53000000000.0,Jakarta Selatan,Pondok Indah,6.0,5.0,8.0,1094.0,1200.0,2026-04-28T01:54:05.720092+00:00
"Dijual Rumah di Area Dekat Jl. Sriwijaya, Kelurahan Selong, LT 875M Hanya Rp 105 M Nego. Lokasi Terbaik, Dekat Sriwijaya",105000000000.0,Jakarta Selatan,Senopati,5.0,5.0,6.0,815.0,500.0,2026-04-28T01:54:09.525286+00:00
"Rumah di Tebet Timur, Akses Jalan 3 Mobil Lebar",9200000000.0,Jakarta Selatan,Tebet,6.0,5.0,4.0,264.0,350.0,2026-04-28T01:54:12.230514+00:00
"Rumah di Tebet Timur Akses Lebar Jalan 3 Mobil,3 Lantai Ada Lift dan Swimming Pool Kolam Renang",9700000000.0,Jakarta Selatan,Tebet,6.0,6.0,2.0,216.0,370.0,2026-04-28T01:54:15.333354+00:00
Rumah Resto Kafe di Tebet Jalan Raya Depan Taman Ecopark,17500000000.0,Jakarta Selatan,Tebet,4.0,3.0,,611.0,400.0,2026-04-28T01:54:19.207923+00:00
For Sale Rumah Mewah 4 LT Kondisi Baru di Pusat Jakarta Selatan Lokasi Strategis,6900000000.0,Jakarta Selatan,Tebet,4.0,4.0,4.0,76.0,375.0,2026-04-28T01:54:21.921244+00:00
Rumah LT 500 Hadap Timur 8 Menit ke Gerbang Tol Ampera J-43999,6860000000.0,Jakarta Selatan,Pasar Minggu,4.0,3.0,,500.0,350.0,2026-04-28T01:54:24.717557+00:00
Rumah Tanah Luas 8 Menit ke Gerbang Tol Cilandak Utama bisa KPR J41852,4150000000.000001,Jakarta Selatan,Jagakarsa,5.0,4.0,,228.0,321.0,2026-04-28T01:54:26.982792+00:00
Rumah Strategis 16 Menit ke Cilandak Town Square Bebas Banjir J40038,3320000000.0,Jakarta Selatan,Cilandak,4.0,3.0,,105.0,198.0,2026-04-28T01:54:28.918172+00:00
Di Jual Rumah 3 Lantai Strategis Dekat Mall Casabalnca Jakarta Selatan,1160000000.0,Jakarta Selatan,Setiabudi,2.0,2.0,2.0,24.0,69.0,2026-04-28T01:54:32.984285+00:00
Rumah Brand New Mewah di Cilandak - 4 Menit ke MRT,12800000000.0,Jakarta Selatan,Cilandak,5.0,5.0,4.0,515.0,400.0,2026-04-28T01:54:35.159270+00:00
Dijual Rumah di Pondok Indah Lokasi Tenang Jalan Lebar,17000000000.0,Jakarta Selatan,Pondok Indah,5.0,4.0,4.0,433.0,300.0,2026-04-28T01:54:39.142467+00:00
Rumah Siap Huni dengan 4 Kamar Tidur Dekat Lebak Bulus I,4500000000.0,Jakarta Selatan,Lebak Bulus,4.0,3.0,2.0,200.0,350.0,2026-04-28T01:54:41.239797+00:00
"Rumah Kondisi Baru dengan 3 Lantai Dijual di Cijantung, Dekat Pusat Perbelanjaan",3000000000.0,Jakarta Selatan,Cilandak,3.0,3.0,2.0,60.0,127.0,2026-04-28T01:54:44.062109+00:00
Rumah LT 258 SHM 6 Menit ke Aeon Mall Tanjung Barat Siap KPR J-40229,2550000000.0,Jakarta Selatan,Jagakarsa,,,,258.0,60.0,2026-04-28T01:54:45.862477+00:00
Rumah LT 176 Minimalis 10 Menit ke Stasiun Tanjung Barat bisa KPR J41466,4420000000.0,Jakarta Selatan,Jagakarsa,5.0,3.0,,176.0,300.0,2026-04-28T01:54:52.299808+00:00
Rumah Murah 1.55 M Sandinavian Town House 3 Lantai di Jagakarsa Jakarta Selatan,1550000000.0,Jakarta Selatan,Jagakarsa,4.0,4.0,2.0,84.0,150.0,2026-04-28T01:54:55.022466+00:00
Rumah Hadap Timur 6 Menit ke Gerbang Tol Ciputat Siap KPR J-44917,15300000000.0,Jakarta Selatan,Cilandak,4.0,4.0,,597.0,200.0,2026-04-28T01:54:58.368209+00:00
"Jual Rumah Pondok Indah, 7 Kamar Tidur, Kondisi Bagus! Strategis!",26500000000.0,Jakarta Selatan,Pondok Indah,8.0,6.0,,420.0,600.0,2026-04-28T01:55:02.153430+00:00
Rumah Strategis 7 Menit ke Pintu Tol Lenteng Agung 3 Bebas Banjir J38850,2550000000.0,Jakarta Selatan,Jagakarsa,5.0,2.0,,123.0,160.0,2026-04-28T01:55:05.222540+00:00
Rumah Luas LT 200 Siap Huni 5 Menit ke Rsud Pasar Minggu bisa KPR J42096,6630000000.0,Jakarta Selatan,Pasar Minggu,2.0,1.0,,200.0,150.0,2026-04-28T01:55:06.978787+00:00
Brand New Rumah Modern 4 LT Ditengah Kota di Fatmawati Cilandak,4650000000.0,Jakarta Selatan,Cilandak,4.0,3.0,2.0,102.0,250.0,2026-04-28T01:55:10.797820+00:00
Guess House Javanese Style Luas Harga di Bawah Pasar Dibantu KPR J40432,12500000000.0,Jakarta Selatan,Cilandak,15.0,15.0,,1025.0,1000.0,2026-04-28T01:55:12.857061+00:00
Rumah LT 157 SHM 14 Menit ke The Park Pejaten Dibantu KPR J-40181,4980000000.0,Jakarta Selatan,Pasar Minggu,4.0,3.0,,157.0,110.0,2026-04-28T01:55:15.459225+00:00
Rumah Luas 2 Lantai 12 Menit ke Gerbang Tol Andara 4 Hadap Timur J38922,2550000000.0,Jakarta Selatan,Jagakarsa,3.0,2.0,,181.0,171.0,2026-04-28T01:55:18.438121+00:00
Tanah Luas Strategis di Jaksel 8 Menit ke Gerbang Tol Veteran 2 J42389,5530000000.0,Jakarta Selatan,Pesanggrahan,,,,654.0,,2026-04-28T01:55:21.704841+00:00
Rumah LT 189 Hadap Selatan 10 Menit ke Aeon Mall Tanjung Barat J-46532,2770000000.0,Jakarta Selatan,Pasar Minggu,3.0,2.0,,189.0,150.0,2026-04-28T01:55:23.763070+00:00
Rumah 5 Kamar Tidur SHM Dekat Gandaria City Mall Dibantu KPR J-46152,6630000000.0,Jakarta Selatan,Pesanggrahan,5.0,5.0,,277.0,500.0,2026-04-28T01:55:26.039867+00:00
For Sale Rumah Baru 2 Lantai dan 3 Bedroom Dalam Kondisi Baru Akses Strategis,2000000000.0,Jakarta Selatan,Pejaten,3.0,2.0,2.0,60.0,85.0,2026-04-28T01:55:34.712086+00:00
Rumah Baru Dijual Murah di Setiabudi. Jakarta Selatan Strategis Bebas Banjir,858000000.0,Jakarta Selatan,Setiabudi,2.0,2.0,,21.0,40.0,2026-04-28T01:55:37.767487+00:00
"Jarang Ada! Komplek Premium, Jalan 3 Mobil, 300M2 Best Deal!",5970000000.0,Jakarta Selatan,Lebak Bulus,5.0,4.0,2.0,300.0,220.0,2026-04-28T01:55:39.626345+00:00
Jual Rumah di Vasa Jagakarsa Dekat Akses Tol,2300000000.0,Jakarta Selatan,Jagakarsa,4.0,3.0,1.0,91.0,90.0,2026-04-28T01:55:42.655482+00:00
Hot Jual Murah Rumah Mewah 2 Lantai di Pondok Indah,25000000000.0,Jakarta Selatan,Pondok Indah,8.0,6.0,6.0,425.0,750.0,2026-04-28T01:55:45.466951+00:00
Dijual Via Lelang Rumah Mewah Raya Kemang Utara 16Kt Murah,26000000000.0,Jakarta Selatan,Kemang,17.0,21.0,20.0,1493.0,1374.0,2026-04-28T01:55:47.170312+00:00
Dijual Rumah Di Nol Jalan Raya Suryo - Senopati Jakarta Selatan,34500000000.0,Jakarta Selatan,Senopati,5.0,4.0,,351.0,351.0,2026-04-28T01:55:49.376793+00:00
Rumah Mewah Kondisi Baru 4 Lantai di Cilandak Jaksel Lokasi Strategis,6900000000.0,Jakarta Selatan,Cilandak,4.0,4.0,4.0,76.0,375.0,2026-04-28T01:55:54.816860+00:00
Pondok Indah Jakarta View Lapangan Golf Termurah Rumah Joglo Hitung Tanah,72000000000.0,Jakarta Selatan,Pondok Indah,3.0,2.0,4.0,1267.0,225.0,2026-04-28T01:55:58.364982+00:00
Exclusive Urban Living In Cipete-Kemang Antasari,7660000000.0,Jakarta Selatan,Kemang,7.0,6.0,2.0,133.0,280.0,2026-04-28T01:56:01.094651+00:00
